"","subunit_1","subunit_2","subunit_3","subunit_4"
"Activin AB","Inhba","Inhbb","",""
"Inhibin A","Inha","Inhba","",""
"Inhibin B","Inha","Inhbb","",""
"IL12AB","Il12a","Il12b","",""
"IL23 complex","Il12b","Il23a","",""
"IL27 complex","Il27","Ebi3","",""
"IL17AF","Il17a","Il17f","",""
"LTa1b2","Lta","Ltb","",""
"GP complex","Gp1ba","Gp1bb","Gp5","Gp9"
"ACVR1_ACVR2A","Acvr1","Acvr2a","",""
"ACVR1_ACVR2B","Acvr1","Acvr2b","",""
"ACVR1_BMPR2","Acvr1","Bmpr2","",""
"ACVR1_TGFbR","Acvr1","Tgfbr1","Tgfbr2",""
"ACVR1B_ACVR2A","Acvr1b","Acvr2a","",""
"ACVR1B_ACVR2A_CFC1","Acvr1b","Acvr2a","Cfc1",""
"ACVR1B_ACVR2B","Acvr1b","Acvr2b","",""
"ACVR1B_ACVR2B_CFC1","Acvr1b","Acvr2b","Cfc1",""
"ACVR1B_BMPR2","Acvr1b","Bmpr2","",""
"ACVR1B_TGFbR2","Acvr1b","Tgfbr2","",""
"ACVR1C_ACVR2A","Acvr1c","Acvr2a","",""
"ACVR1C_ACVR2A_CFC1","Acvr1c","Acvr2a","Cfc1",""
"ACVR1C_ACVR2B","Acvr1c","Acvr2b","",""
"ACVR1C_ACVR2B_CFC1","Acvr1c","Acvr2b","Cfc1",""
"ACVR1C_TGFbR2","Acvr1c","Tgfbr2","",""
"ACVRL1_ACVR2A","Acvrl1","Acvr2a","",""
"ACVRL1_BMPR2","Acvrl1","Bmpr2","",""
"AMHR2_ACVR1","Amhr2","Acvr1","",""
"AMHR2_BMPR1A","Amhr2","Bmpr1a","",""
"BMPR1A_ACVR2A","Bmpr1a","Acvr2a","",""
"BMPR1A_ACVR2B","Bmpr1a","Acvr2b","",""
"BMPR1A_BMPR2","Bmpr1a","Bmpr2","",""
"BMPR1B_ACVR2A","Bmpr1b","Acvr2a","",""
"BMPR1B_ACVR2B","Bmpr1b","Acvr2b","",""
"BMPR1B_BMPR2","Bmpr1b","Bmpr2","",""
"CD74_CD44","Cd74","Cd44","",""
"CD74_CXCR2","Cd74","Cxcr2","",""
"CD74_CXCR4","Cd74","Cxcr4","",""
"CD8 receptor","Cd8a","Cd8b1","",""
"CNTFR_LIFR","Cntfr","Lifr","Il6st",""
"CNTN1_CNTNAP1","Cntn1","Cntnap1","",""
"CNTN2_CNTNAP2","Cntn2","Cntnap2","",""
"CSF2RA_CSF2RB","Csf2ra","Csf2rb","",""
"EGFR_ERBB2","Egfr","Erbb2","",""
"ERBB2_ERBB3","Erbb2","Erbb3","",""
"ERBB2_ERBB4","Erbb2","Erbb4","",""
"FLT1_KDR","Flt1","Kdr","",""
"FLT4_KDR","Flt4","Kdr","",""
"FPR2_LXA4","Fpr2","Fpr3","",""
"FZD1_LRP5","Fzd1","Lrp5","",""
"FZD1_LRP6","Fzd1","Lrp6","",""
"FZD10_LRP5","Fzd10","Lrp5","",""
"FZD10_LRP6","Fzd10","Lrp6","",""
"FZD2_LRP5","Fzd2","Lrp5","",""
"FZD2_LRP6","Fzd2","Lrp6","",""
"FZD3_LRP5","Fzd3","Lrp5","",""
"FZD3_LRP6","Fzd3","Lrp6","",""
"FZD4_LRP5","Fzd4","Lrp5","",""
"FZD4_LRP6","Fzd4","Lrp6","",""
"FZD5_LRP5","Fzd5","Lrp5","",""
"FZD5_LRP6","Fzd5","Lrp6","",""
"FZD6_LRP5","Fzd6","Lrp5","",""
"FZD6_LRP6","Fzd6","Lrp6","",""
"FZD7_LRP5","Fzd7","Lrp5","",""
"FZD7_LRP6","Fzd7","Lrp6","",""
"FZD8_LRP5","Fzd8","Lrp5","",""
"FZD8_LRP6","Fzd8","Lrp6","",""
"FZD9_LRP5","Fzd9","Lrp5","",""
"FZD9_LRP6","Fzd9","Lrp6","",""
"GFRA1_RET","Gfra1","Ret","",""
"GFRA2_RET","Gfra2","Ret","",""
"GFRA3_RET","Gfra3","Ret","",""
"GFRA4_RET","Gfra4","Ret","",""
"IFNAR1_IFNAR2","Ifnar1","Ifnar2","",""
"IFNGR1_IFNGR2","Ifngr1","Ifngr2","",""
"IFNLR1_IL10RB","Ifnlr1","Il10rb","",""
"IL10RA_IL10RB","Il10ra","Il10rb","",""
"IL11R complex 1","Il11ra1","Il6st","",""
"IL11R complex 2","Il11ra2","Il6st","",""
"IL12RB1_IL12RB2","Il12rb1","Il12rb2","",""
"IL15RA_IL2RB","Il15ra","Il2rb","Il2rg",""
"IL17RA_IL17RB","Il17ra","Il17rb","",""
"IL17RA_IL17RC","Il17ra","Il17rc","",""
"IL17RA_IL17RE","Il17ra","Il17re","",""
"IL18R1_IL18RAP","Il18r1","Il18rap","",""
"IL1R1_IL1RAP","Il1r1","Il1rap","",""
"IL1RL1_IL1RAP","Il1rl1","Il1rap","",""
"IL1RL2_IL1RAP","Il1rl2","Il1rap","",""
"IL20RA_IL20RB","Il20ra","Il20rb","",""
"IL21R_IL2RG","Il21r","Il2rg","",""
"IL22RA1_IL10RB","Il22ra1","Il10rb","",""
"IL22RA1_IL20RB","Il22ra1","Il20rb","",""
"IL23R_IL12RB1","Il23r","Il12rb1","",""
"IL27RA_IL6ST","Il27ra","Il6st","",""
"IL28RA_IL10RB","Ifnlr1","Il10rb","",""
"IL2RB_IL2RG","Il2rb","Il2rg","",""
"IL2RA_IL2RB","Il2ra","Il2rb","Il2rg",""
"IL31RA_OSMR","Il31ra","Osmr","",""
"IL3RA_CSF2RB","Il3ra","Csf2rb","",""
"IL4R_IL13RA1","Il4ra","Il13ra1","",""
"IL4R_IL13RA2","Il4ra","Il13ra2","",""
"IL4R_IL2RG","Il4ra","Il2rg","",""
"IL5RA_CSF2RB","Il5ra","Csf2rb","",""
"IL6R_IL6ST","Il6ra","Il6st","",""
"IL7R_CRLF2","Il7r","Crlf2","",""
"IL7R_IL2RG","Il7r","Il2rg","",""
"IL9R_IL2RG","Il9r","Il2rg","",""
"ITGA1_ITGB1","Itga1","Itgb1","",""
"ITGA10_ITGB1","Itga10","Itgb1","",""
"ITGA11_ITGB1","Itga11","Itgb1","",""
"ITGA2_ITGB1","Itga2","Itgb1","",""
"ITGA2B_ITGB3","Itga2b","Itgb3","",""
"ITGA3_ITGB1","Itga3","Itgb1","",""
"ITGA4_ITGB1","Itga4","Itgb1","",""
"ITGA4_ITGB7","Itga4","Itgb7","",""
"ITGA5_ITGB1","Itga5","Itgb1","",""
"ITGA6_ITGB1","Itga6","Itgb1","",""
"ITGA6_ITGB4","Itga6","Itgb4","",""
"ITGA7_ITGB1","Itga7","Itgb1","",""
"ITGA8_ITGB1","Itga8","Itgb1","",""
"ITGA9_ITGB1","Itga9","Itgb1","",""
"ITGAE_ITGB7","Itgae","Itgb7","",""
"ITGAL_ITGB2","Itgal","Itgb2","",""
"ITGAL_ITGB2L","Itgal","Itgb2l","",""
"ITGAM_ITGB2","Itgam","Itgb2","",""
"ITGAM_ITGB2L","Itgam","Itgb2l","",""
"ITGAV_ITGB1","Itgav","Itgb1","",""
"ITGAV_ITGB3","Itgav","Itgb3","",""
"ITGAV_ITGB5","Itgav","Itgb5","",""
"ITGAV_ITGB6","Itgav","Itgb6","",""
"ITGAV_ITGB8","Itgav","Itgb8","",""
"ITGAX_ITGB2","Itgax","Itgb2","",""
"ITGB1_ITGA1","Itgb1","Itga1","",""
"KLRD1_KLRC1","Klrd1","Klrc1","",""
"KLRD1_KLRC2","Klrd1","Klrc2","",""
"KLRK1_HCST","Klrk1","Hcst","",""
"LIFR_IL6ST","Lifr","Il6st","",""
"Npnt complex 1","Npnt","Fras1","Frem1",""
"Npnt complex 2","Npnt","Fras1","Frem2",""
"NRP1_NRP2","Nrp1","Nrp2","Plxnd1",""
"NRP1_PLXNA1","Nrp1","Plxna1","",""
"NRP1_PLXNA2","Nrp1","Plxna2","",""
"NRP1_PLXNA3","Nrp1","Plxna3","",""
"NRP1_PLXNA4","Nrp1","Plxna4","",""
"NRP2_PLXNA1","Nrp2","Plxna1","",""
"NRP2_PLXNA2","Nrp2","Plxna2","",""
"NRP2_PLXNA3","Nrp2","Plxna3","",""
"NRP2_PLXNA4","Nrp2","Plxna4","",""
"OSMR_IL6ST","Osmr","Il6st","",""
"PLXNA1_KDR","Plxna1","Kdr","",""
"PLXNA1_TREM2","Plxna1","Trem2","Tyrobp",""
"PTCH1_SMO","Ptch1","Smo","",""
"PTCH2_SMO","Ptch2","Smo","",""
"TGFBR1_ACVR2A","Tgfbr1","Acvr2a","",""
"TGFBR1_ACVR2B","Tgfbr1","Acvr2b","",""
"TGFbR1_R2","Tgfbr1","Tgfbr2","",""
